Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
27035,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,1,"Young prince of Tyre, you have at large received",male
27036,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,2,The danger of the task you undertake.,male
27037,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,3,"I have, Antiochus, and, with a soul",male
27038,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,4,"Embolden'd with the glory of her praise,",male
27039,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,5,Think death no hazard in this enterprise.,male
27040,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,6,"Bring in our daughter, clothed like a bride,",male
27041,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,7,For the embracements even of Jove himself;,male
27042,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,8,"At whose conception, till Lucina reign'd,",male
27043,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,9,"Nature this dowry gave, to glad her presence,",male
27044,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,10,"The senate-house of planets all did sit,",male
27045,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,11,To knit in her their best perfections.,male
27046,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,12,"See where she comes, apparell'd like the spring,",male
27047,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,13,"Graces her subjects, and her thoughts the king",male
27048,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,14,Of every virtue gives renown to men!,male
27049,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,15,"Her face the book of praises, where is read",male
27050,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,16,"Nothing but curious pleasures, as from thence",male
27051,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,17,Sorrow were ever razed and testy wrath,male
27052,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,18,Could never be her mild companion.,male
27053,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,19,"You gods that made me man, and sway in love,",male
27054,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,20,That have inflamed desire in my breast,male
27055,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,21,"To taste the fruit of yon celestial tree,",male
27056,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,22,"Or die in the adventure, be my helps,",male
27057,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,23,"As I am son and servant to your will,",male
27058,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,24,To compass such a boundless happiness!,male
27059,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,25,"Prince Pericles,--",male
27060,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,26,That would be son to great Antiochus.,male
27061,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,27,"Before thee stands this fair Hesperides,",male
27062,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,28,"With golden fruit, but dangerous to be touch'd;",male
27063,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,29,For death-like dragons here affright thee hard:,male
27064,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,30,"Her face, like heaven, enticeth thee to view",male
27065,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,31,"Her countless glory, which desert must gain;",male
27066,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,32,"And which, without desert, because thine eye",male
27067,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,33,"Presumes to reach, all thy whole heap must die.",male
27068,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,34,"Yon sometimes famous princes, like thyself,",male
27069,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,35,"Drawn by report, adventurous by desire,",male
27070,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,36,"Tell thee, with speechless tongues and semblance pale,",male
27071,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,37,"That without covering, save yon field of stars,",male
27072,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,38,"Here they stand martyrs, slain in Cupid's wars;",male
27073,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,39,And with dead cheeks advise thee to desist,male
27074,"Pericles, Prince of Tyre",Comedy,Antiochus,1,1,40,"For going on death's net, whom none resist.",male
27075,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,41,"Antiochus, I thank thee, who hath taught",male
27076,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,42,"My frail mortality to know itself,",male
27077,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,43,And by those fearful objects to prepare,male
27078,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,44,"This body, like to them, to what I must;",male
27079,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,45,"For death remember'd should be like a mirror,",male
27080,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,46,"Who tells us life's but breath, to trust it error.",male
27081,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,47,"I'll make my will then, and, as sick men do",male
27082,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,48,"Who know the world, see heaven, but, feeling woe,",male
27083,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,49,Gripe not at earthly joys as erst they did;,male
27084,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,50,So I bequeath a happy peace to you,male
27085,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,51,"And all good men, as every prince should do;",male
27086,"Pericles, Prince of Tyre",Comedy,Pericles,1,1,52,My riches to the earth from whence they came;,male
